date,word,count
1.9.24,morning,3
1.9.24,broken,1
1.9.24,heart,1
1.9.24,stand,1
1.9.24,family,5
1.9.24,ori,1
1.9.24,danino,1
1.9.24,alex,1
1.9.24,lobanov,1
1.9.24,almog,1
1.9.24,serussi,1
1.9.24,hirsch,1
1.9.24,goldberg,1
1.9.24,polin,1
1.9.24,carmel,1
1.9.24,gat,1
1.9.24,eden,1
1.9.24,yerushalmi,1
1.9.24,blessed,1
1.9.24,memory,1
1.9.24,hour,1
1.9.24,ago,2
1.9.24,informed,1
1.9.24,body,3
1.9.24,loved,1
1.9.24,one,1
1.9.24,found,1
1.9.24,idf,3
1.9.24,force,5
1.9.24,underground,2
1.9.24,tunnel,4
1.9.24,rafah,2
1.9.24,according,1
1.9.24,initial,1
1.9.24,assessment,1
1.9.24,brutally,1
1.9.24,murdered,1
1.9.24,hamas,3
1.9.24,terrorist,2
1.9.24,shortly,1
1.9.24,reached,1
1.9.24,kidnapped,1
1.9.24,alive,1
1.9.24,october,2
1.9.24,7,2
1.9.24,discovered,1
1.9.24,fighting,2
1.9.24,kilometer,1
1.9.24,rescued,1
1.9.24,farhan,2
1.9.24,kadi,1
1.9.24,day,2
1.9.24,since,2
1.9.24,'s,1
1.9.24,discovery,1
1.9.24,instructed,1
1.9.24,act,1
1.9.24,even,1
1.9.24,caution,1
1.9.24,precision,1
1.9.24,understanding,1
1.9.24,may,1
1.9.24,hostage,3
1.9.24,area,2
1.9.24,precise,1
1.9.24,information,1
1.9.24,exact,1
1.9.24,location,1
1.9.24,ongoing,1
1.9.24,ground,1
1.9.24,eliminated,1
1.9.24,battle,1
1.9.24,yesterday,1
1.9.24,still,1
1.9.24,operating,1
1.9.24,moment,1
1.9.24,last,1
1.9.24,night,1
1.9.24,located,1
1.9.24,recovered,1
1.9.24,bringing,1
1.9.24,israel,2
1.9.24,identification,1
1.9.24,process,1
1.9.24,conducted,1
1.9.24,medical,1
1.9.24,personnel,1
1.9.24,443,1
1.9.24,unit,1
1.9.24,police,1
1.9.24,completed,1
1.9.24,representative,1
1.9.24,delivered,1
1.9.24,news,2
1.9.24,share,1
1.9.24,immense,1
1.9.24,pain,2
1.9.24,difficult,1
1.9.24,time,1
1.9.24,word,1
1.9.24,describe,1
1.9.24,unimaginable,1
1.9.24,suffering,1
1.9.24,captivity,1
1.9.24,331,1
1.9.24,endure,1
1.9.24,shake,1
1.9.24,u,1
12.2.24,last,1
12.2.24,night,3
12.2.24,brought,1
12.2.24,luis,5
12.2.24,fernando,5
12.2.24,home,3
12.2.24,joint,1
12.2.24,rescue,3
12.2.24,operation,7
12.2.24,idf,2
12.2.24,shin,5
12.2.24,bet,5
12.2.24,yamam,3
12.2.24,special,2
12.2.24,unit,3
12.2.24,israeli,1
12.2.24,police,2
12.2.24,rescued,1
12.2.24,herr,1
12.2.24,merman,1
12.2.24,kidnapped,1
12.2.24,hamas,3
12.2.24,october,2
12.2.24,7,3
12.2.24,nir,2
12.2.24,yitzhak,1
12.2.24,complex,1
12.2.24,fire,2
12.2.24,heart,2
12.2.24,rafah,2
12.2.24,based,1
12.2.24,sensitive,1
12.2.24,high-quality,1
12.2.24,intelligence,2
12.2.24,division,2
12.2.24,'s,2
12.2.24,operational,1
12.2.24,along,1
12.2.24,force,7
12.2.24,98,1
12.2.24,shayetet,1
12.2.24,13,1
12.2.24,brigade,1
12.2.24,performed,1
12.2.24,professional,1
12.2.24,precise,1
12.2.24,action,1
12.2.24,aerial,2
12.2.24,envelope,2
12.2.24,airstrikes,1
12.2.24,air,2
12.2.24,coordination,1
12.2.24,southern,2
12.2.24,command,4
